x,y
0,1
5,61768
15,62068
25,62427
35,63205
45,63983
55,64102
65,64042
75,64701
85,66496
95,67154
105,68590
115,69189
125,70206
135,70864
145,70804
155,70924
165,71223
175,71522
185,71821
195,72061
205,72899
215,72659
225,72240
235,72779
245,73437
255,74155
265,74395
275,74813
285,74933
295,75113
305,75531
315,75412
325,75232
335,75950
345,75950
355,76369
365,76609
375,76728
385,76668
395,76848
405,77207
415,77865
425,77865
435,78105
445,78942
455,79301
465,78823
475,78523
485,78224
495,77745
505,78942
515,80558
525,81037
535,81037
545,81456
555,81216
565,81276
575,81336
585,81755
595,82293
605,82233
615,82174
625,82233
635,81994
645,81994
655,81994
665,81695
675,81874
685,82892
695,84986
705,84687
715,85704
725,87021
735,87858
745,88696
755,89414
765,90012
775,90671
785,90491
795,90252
805,90491
815,90850
825,90910
835,91508
845,91269
855,91628
865,91628
875,90910
885,90970
895,91329
905,91508
915,91389
925,91628
935,91449
945,92107
955,91030
965,90790
975,90790
985,90850
995,90970
1005,90431
1015,90551
1025,90910
1035,91030
1045,90970
1055,91030
1065,91269
1075,90671
1085,90132
1095,89414
1105,89115
1115,88756
1125,88277
1135,88457
1145,87559
1155,87858
1165,87619
1175,87380
1185,87798
1195,87140
1205,87140
1215,86841
1225,86661
1235,86482
1245,86482
1255,86183
1265,86123
1275,86063
1285,85225
1295,85943
1305,85465
1315,85943
1325,86183
1335,86063
1345,85824
1355,86003
1365,86123
1375,86243
1385,86243
1395,86183
1405,86183
1415,86003
1425,85764
1435,85704
1445,86123
1455,85764
1465,86063
1475,86243
1485,86302
1495,86243
1505,86003
1515,85884
1525,85584
1535,85943
1545,85824
1555,85644
1565,85046
1575,84507
1585,84507
1595,83909
1605,84029
1615,84866
1625,85046
1635,84447
1645,84507
1655,84148
1665,84268
1675,83909
1685,83729
1695,83610
1705,83311
1715,83251
1725,83011
1735,83071
1745,82951
1755,82951
1765,82892
1775,83011
1785,83071
1795,82293
1805,82114
1815,82233
1825,82233
1835,82293
1845,82293
1855,82712
1865,82174
1875,82233
1885,82293
1895,82293
1905,82473
1915,82832
1925,83071
1935,83251
1945,82951
1955,82892
1965,83490
1975,83071
1985,83311
1995,83251
2005,83251
2015,83430
2025,83430
2035,83131
2045,84029
2055,83251
2065,83370
2075,82951
2085,82951
2095,83191
2105,83789
2115,84088
2125,84088
2135,84567
2145,85166
2155,84866
2165,84926
2175,85046
2185,85584
2195,85525
2205,85704
2215,86123
2225,85943
2235,86302
2245,86063
2255,86661
2265,86362
2275,86362
2285,86422
2295,86482
2305,86123
2315,86482
2325,86063
2335,86183
2345,85704
2355,86063
2365,85704
2375,86063
2385,88217
2395,88217
2405,88277
2415,87679
2425,85704
2435,78942
2445,76668
2455,78284
2465,78404
2475,78882
2485,78523
2495,79301
2505,78823
2515,79062
2525,78763
2535,78942
2545,78703
2555,79062
2565,79182
2575,79361
2585,79062
2595,79421
2605,79960
2615,80199
2625,79780
2635,80378
2645,80797
2655,80378
2665,80558
2675,80378
2685,80737
2695,80797
2705,81096
2715,81096
2725,81515
2735,82114
2745,81874
2755,81635
2765,81695
2775,81815
2785,81755
2795,81276
2805,81216
2815,80917
2825,80319
2835,80079
2845,79900
2855,79002
2865,78942
2875,79241
2885,79900
2895,80678
2905,81156
2915,80438
2925,80737
2935,80378
2945,80438
2955,80378
2965,80259
2975,80558
2985,80857
2995,80438
3005,80618
3015,80558
3025,80438
3035,80857
3045,80797
3055,80558
3065,80618
3075,80917
3085,80558
3095,81515
3105,81396
3115,81635
3125,77386
3135,46869
3145,23890
3155,19582
3165,19043
3175,19103
3185,18924
3195,18984
3205,18325
3215,18924
3225,18744
3235,18684
3245,18625
3255,18565
3265,18505
3275,18684
3285,18625
3295,18864
3305,18505
3315,18744
3325,18864
3335,19043
3345,19462
3355,25985
3365,30353
3375,36397
3385,44056
3395,50279
3405,55067
