UT_time,Scat450tot,Scat550tot,Scat700tot,Scat450sub,Scat550sub,Scat700sub
64669,63.48,39.74,24.25,46.48,31.12,17.03
64670,62.41,39.16,23.68,48.04,32.16,17.60
64671,62.48,39.45,23.56,48.05,32.16,17.60
64672,60.96,38.77,23.89,48.05,32.16,17.60
64673,62.05,38.52,23.79,48.04,32.16,17.60
64674,61.75,38.36,23.43,48.05,32.17,17.60
64675,63.67,38.30,24.19,48.10,32.20,17.62
64676,62.13,38.12,23.94,48.19,32.26,17.65
64677,63.45,38.41,24.35,48.34,32.36,17.71
64678,61.33,38.81,24.16,48.53,32.49,17.78
64679,61.63,38.58,24.27,48.73,32.62,17.85
64680,60.48,38.65,23.80,48.99,32.79,17.94
64681,61.42,38.12,24.24,49.24,32.96,18.04
64682,60.96,37.72,23.72,49.47,33.11,18.12
64683,61.65,37.39,23.34,49.65,33.24,18.19
64684,60.93,37.02,23.36,49.82,33.35,18.25
64685,60.79,37.80,22.81,49.99,33.46,18.31
64686,60.88,37.99,22.41,50.14,33.57,18.37
64687,60.63,39.03,22.55,50.35,33.71,18.44
64688,61.24,39.11,22.64,50.62,33.88,18.54
64689,62.07,40.06,22.31,50.93,34.09,18.66
64690,62.66,39.10,21.99,51.23,34.29,18.77
64691,62.89,39.21,21.26,51.53,34.50,18.88
64692,62.35,37.87,19.93,51.85,34.71,18.99
64693,61.60,37.97,19.62,52.14,34.90,19.10
64694,60.62,37.47,18.97,52.33,35.03,19.17
64695,60.21,38.42,19.22,52.49,35.14,19.23
64696,60.04,38.32,19.33,52.62,35.23,19.28
64697,60.50,39.81,20.34,52.78,35.33,19.33
64698,60.85,39.87,20.66,52.95,35.44,19.40
64699,61.32,39.81,21.47,53.18,35.60,19.48
64700,61.12,38.80,21.21,53.45,35.78,19.58
64701,61.26,39.20,21.45,53.74,35.98,19.69
64702,61.23,37.89,20.63,54.01,36.15,19.78
64703,61.33,37.92,20.36,54.26,36.32,19.88
64704,60.77,37.57,19.52,54.51,36.49,19.97
64705,61.14,37.93,19.82,54.70,36.62,20.04
64706,60.67,37.89,19.52,54.84,36.71,20.09
64707,60.35,38.65,20.40,54.93,36.77,20.12
64708,59.14,38.40,20.35,55.02,36.83,20.15
64709,59.45,38.70,20.96,55.10,36.89,20.18
64710,58.50,38.44,20.66,55.21,36.96,20.22
64711,59.28,38.67,21.09,55.34,37.05,20.27
64712,59.57,38.27,20.27,55.48,37.14,20.32
64713,61.52,39.08,20.39,55.60,37.22,20.37
64714,62.03,39.08,19.67,55.72,37.30,20.41
64715,62.90,39.74,19.87,55.82,37.37,20.45
64716,62.71,39.03,19.12,55.93,37.44,20.49
